length,num,title,link,date,sector,subsector,author,points
35,0,"OPEC supply cut not timed for Aramco listing, Saudi energy minister says",https://www.cnbc.com/oil-gas/?page=0,2019/12/06,Energy,oil-gas/,David Reid,"['Global oil-producing countries are to cut production by an additional 500,000 barrels per day.', 'It would bring the total production cut to 1.7 million barrels per day.', 'On Friday, OPEC and its allies — known as OPEC+ — finalized the proposed measures.']"
35,1,Saudi energy minister defends US shale producers: 'They are creating jobs',https://www.cnbc.com/oil-gas/?page=0,2019/12/06,Energy,oil-gas/,Matt Clinch,"[""The U.S. is now the world's largest oil producer hitting 12.3 million b/d in 2019, according to the U.S. Energy Information Administration, up from 11 million b/d in 2018. "", 'It produces more oil than Saudi Arabia and Russia now, although there are signs that production growth is slowing in the States.']"
35,3,'Is this the beginning of the end?': OPEC discord raises questions about its long-term future,https://www.cnbc.com/oil-gas/?page=0,2019/12/06,Energy,oil-gas/,Sam Meredith ,"['It was initially unclear whether  OPEC members had secured a deal on Thursday, following an acrimonious meeting that ran late into the evening.', 'Herman Wang, OPEC and Middle East specialist at S&P Global Platts, said the meeting had caused him to question the long-term future of OPEC.', 'Speaking to CNBC\'s Dan Murphy in Vienna on Friday, Wang said: ""What we saw last night was not a unified OPEC. Is this the beginning of the end?""']"
35,4,OPEC and its allies agree to deepen oil production cuts,https://www.cnbc.com/oil-gas/?page=0,2019/12/06,Energy,oil-gas/,Sam Meredith ,"['The new deal, which is much larger than many analysts had expected, will see OPEC+ reduce total oil output by 1.7 million b/d.', ""Saudi Arabia's Energy Minister Prince Abdulaziz bin Salman\xa0explained his country would also extend a voluntary cut of 400,000 b/d. "", ""This means the energy alliance's total cuts would effectively amount to 2.1 million b/d, he said."", 'The energy alliance has said it plans to review the policy at a meeting on March 5-6.']"
35,5,Saudi minister looks to make his mark as OPEC meeting gets underway,https://www.cnbc.com/oil-gas/?page=0,2019/12/05,Energy,oil-gas/,Hadley Gamble,"['With current cuts set to expire in March, sources told Reuters that a new deal could be extended to June or until the end of 2020. ', 'Key to any deal will be the ability to get all members on side, including Russia.']"
35,6,"Saudi Arabia denies pushing OPEC allies to commit to a deeper round of production cuts, source says",https://www.cnbc.com/oil-gas/?page=0,2019/12/05,Energy,oil-gas/,Sam Meredith ,"['The oil-rich kingdom was widely considered to be pushing for other OPEC members to sign up for at least an additional 400,000 barrels per day of production cuts on Thursday. ', 'But, one anonymous Saudi oil official told CNBC on the sidelines of a meeting in Vienna, Austria that this was not the case — and Riyadh had not proposed any figures.', 'OPEC and non-OPEC allies — sometimes referred to as OPEC+ — have gathered in Vienna this week to discuss the next phase of their oil production policy.']"
35,7,OPEC meeting ends with market expecting deep production cut,https://www.cnbc.com/oil-gas/?page=0,2019/12/05,Energy,oil-gas/,Holly Ellyatt,"['Global oil-producing group OPEC reportedly considered cutting production by an additional 500,000 barrels per day as its biannual meeting kicked off Thursday in Vienna.', 'The reported 500,000 cut is larger than the numbers floated ahead of the meeting. It would bring the total production cut to 1.7 million barrels per day.', 'On Friday, OPEC and its allies — known as OPEC+ and which includes Russia — will meet to finalize any proposed measures, including how any cuts would be implemented by each country.']"
35,8,Everything you need to watch out for at this week's OPEC+ meeting,https://www.cnbc.com/oil-gas/?page=0,2019/12/04,Energy,oil-gas/,Sam Meredith ,"['OPEC members will host a meeting in Vienna, Austria, on Thursday to discuss the next phase of their oil production policy.', 'The 14-member group will then hold talks with non-OPEC allies on Friday.', '""I think there is a possibility that we see around 400,000 barrels per day deeper cuts,"" Amrita Sen, chief oil analyst at Energy Aspects, told CNBC\'s Dan Murphy in Vienna on Wednesday.']"
35,10,Russia opens Siberian pipeline to China as Beijing expands its influence in the Arctic,https://www.cnbc.com/oil-gas/?page=0,2019/12/04,Energy,oil-gas/,Grace Shao,"['The pipeline comes after China unveiled a plan nearly two years ago called the ""Polar Silk Road,"" expanding its campaign for influence to the Arctic.', 'The resource-rich region is at the heart of the geopolitical battle and struggle for influence.', ""As Moscow's relationship with Western countries becomes more frail, Russian business leaders look for more economic opportunities with China, especially in energy.""]"
35,11,Repsol says it will reach zero emissions by 2050,https://www.cnbc.com/oil-gas/?page=0,2019/12/03,Energy,oil-gas/,Pippa Stevens,"['Spain-based Repsol said on Monday that it will be carbon neutral by 2050.', 'The company said changes to its oil operations — including shifting the upstream focus to value creation rather than volume, and integrating renewable energy into its refining operations — as well as an increase in its alternative energy portfolio will help the company reach zero emissions.', '""We are convinced that we must set more ambitious objectives to fight climate change,"" Repsol CEO Josu Jon Imaz said in a statement. ""We are convinced that this strengthens our project that is sustainable, attractive and profitable for all our stakeholders.""']"
